serial_no,title,authors,journal,abstract,publish_date,doi,url,source
71,AI-Enabled Adaptive Control Systems for Intelligent Pacemakers and Cardiac Rhythm Devices,R. Sorna Keerthi; S Satish Kumar; N Venkatesan,Machine Learning and Deep Learning in Smart Healthcare Systems and Implantable Devices,"The integration of Artificial Intelligence (AI) into pacemakers and cardiac rhythm devices has revolutionized the management of cardiovascular diseases, offering a personalized approach to cardiac care. AI-enabled pacemakers leverage adaptive control systems to continuously monitor and analyze real-time physiological data, enabling dynamic adjustments to pacing parameters tailored to the specific needs of each patient. This chapter explores the clinical applications, challenges, and potential benefits of AI-driven pacemakers, emphasizing their impact on long-term patient outcomes, predictive analytics for arrhythmia prevention, and the integration of AI algorithms with traditional pacemaker systems. Key considerations surrounding data security, informed consent, and patient trust are critically examined in the context of AI adoption in medical devices. Additionally, the chapter highlights the obstacles to integration with existing healthcare infrastructures and the evolving regulatory landscape that governs AI in medical technology. Through comprehensive analysis, this chapter provides valuable insights into the transformative potential of AI-driven cardiac devices, shaping the future of personalized cardiac care and patient management.",2026-1-14,10.71443/9789349552036-08,https://doi.org/10.71443/9789349552036-08,crossref
72,MACHINE LEARNING FOR HEALTHCARE WEARABLE DEVICES,"Kumutha Duraisamy D; Dharshini K, Jaya P; Nandhini V; Poornika M; Manjusha A; Mirudhula K",IIP Series,"This paper introduces ―Early Cancer Fatigue Syndrome Detection via Wearable Biosensors,‖ a ground- breaking feature designed for healthcare wearables, utilising machine learning to monitor and manage cancer-related fatigue (CRF)—a common, debilitating side effect experienced by cancer patients during and after treatment. Current wearables focus on general health metrics, but this system integrates real-time monitoring of specific biomarkers related to CRF, such as heart rate variability, inflammatory markers (via skin sensors), and sleep disturbances. The machine learning model detects subtle, early signs of cancer-related fatigue by analysing these physiological changes in correlation with treatment cycles, stress levels, and patient-reported symptoms. This proactive system provides personalised interventions, such as energy management techniques, nutrition guidance, and exercise recommendations, aimed at reducing the impact of CRF and improving overall quality of life. By focusing on early detection and management of fatigue, this wearable innovation significantly enhances patient care during cancer treatment, improving both recovery rates and patient well-being. In addition, the system adapts to individual patient needs, adjusting recommendations based on treatment progress and personal health data. This dynamic approach ensures that patients receive timely, personalized support, preventing fatigue from interfering with treatment efficacy. By enhancing both physical and emotional care, the wearable not only aids in managing fatigue but also fosters a holistic approach to cancer recovery. This innovation represents a significant leap in cancer care, offering a tangible solution to one of the most pervasive yet under-treated aspects of cancer therapy.",2025-12-1,10.58532/nbennuraimlsw5,https://doi.org/10.58532/nbennuraimlsw5,crossref
73,Safety and Efficacy of the First Mobile Intelligent Hemodialysis Platform in Mainland China: Protocol for a Single-Center Prospective Exploratory Study in Maintenance Hemodialysis Patients.,Renhua Lu; Yan Fang; Qisheng Lin; Yifei Lu; Yijun Zhou; Xiaojun Zeng; Tingting Liu; Wangshu Wu; Kewei Xie; Haifen Zhang; Shan Mou; Haijiao Jin; Zhaohui Ni; Leyi Gu,"Kidney diseases (Basel, Switzerland)","End-stage kidney disease (ESKD) is a growing global public health burden, with millions of patients dependent on maintenance hemodialysis (MHD). Conventional center-based MHD imposes significant constraints on patient flexibility, accessibility, and quality of life, while home hemodialysis faces substantial implementation barriers in China. Advances in digital health technologies - including artificial intelligence, internet of things (IoT), and real-time data analytics - offer opportunities to fundamentally transform dialysis care delivery. This study presents the protocol for the first clinical trial evaluating a mobile intelligent hemodialysis platform in mainland China. This is a prospective, single-center, exploratory clinical trial to be conducted at Ren Ji Hospital, Shanghai Jiao Tong University School of Medicine. Twenty adult ESKD patients (aged 18-75 years) receiving regular MHD 3 times weekly for at least 3 months will be enrolled. Participants will undergo a single 4-h hemodialysis session on the mobile intelligent dialysis platform, a specialized medical vehicle integrating water purification, dialysis equipment, and an intelligent clinical decision support system across six functional zones. The primary endpoint is the successful session completion rate, defined as completion without platform-related technical failure or premature termination. Secondary endpoints include dialysis adequacy (urea reduction ratio ≥65%; Kt/V >1.2), hemodynamic stability, and pre- to post-dialysis changes in biochemical parameters. Safety assessments include continuous vital sign monitoring and adverse event grading according to Common Terminology Criteria for Adverse Events (CTC-AE) version 4.0. The study has been approved by the Ethics Committee of Ren Ji Hospital (approval number: LY2024-313-A) and registered in the Chinese Clinical Trial Registry (ChiCTR2500100356). This trial is expected to demonstrate that the mobile intelligent hemodialysis platform can achieve high session completion rates, adequate dialysis efficiency, and a safety profile comparable to conventional center-based dialysis. If validated, this platform has the potential to improve service accessibility, reduce indirect costs, enhance patient autonomy, and provide a resilient dialysis option in public health emergencies and disaster settings, representing a meaningful paradigm shift in dialysis care delivery.",2026,10.1159/000553515,https://pubmed.ncbi.nlm.nih.gov/42609889/,pubmed
74,Thin fabric pressure sensors and TinyML smart gloves for edge IoT.,Tuan Nghia Nguyen; Chi Cuong Vu; Viet Hoang Nguyen; Van-Ca Phan,iScience,"Wearable human-machine interfaces require flexible sensing, low-latency processing, and secure data handling for practical edge IoT applications. This study presents a smart glove integrating thin carbon nanotube (CNT)-fabric pressure sensors with embedded tiny machine learning (TinyML) models on an ESP32S3 platform. The sensor achieves a sensitivity of 0.46 kPa-1, a response/recovery time of 60/45 ms, and stable operation over 3,500 cycles. Pressure signals from three fingertip channels are processed locally using lightweight random forest and k-nearest neighbors models, achieving classification accuracies of 92.1% and 96.55% with inference times of 0.185 and 4 ms, respectively. All raw sensor data remain on the embedded device, while only prediction labels are transmitted through Wi-Fi for remote monitoring. The proposed framework demonstrates a compact and privacy-aware wearable platform for real-time human-machine interaction and embedded healthcare systems.",2026,10.1016/j.matdes.2025.114084,https://pubmed.ncbi.nlm.nih.gov/42576997/,pubmed
75,Reimagining the Community Nursing Bag: Eco-Smart and Technology-Integrated Solutions.,S Niranjani; Prema Krishnan; T Umadevi; Jayamalli N,Cureus,"Community health nurses play a vital role in delivering preventive, promotive, curative, and rehabilitative healthcare services through home visits and outreach programs. The community nursing bag has long served as an essential tool for carrying supplies, equipment, medications, and records required for field-based nursing care. However, conventional community bags face several limitations, including infection-control concerns, excessive weight, poor ergonomic design, environmental impact, and limited integration with digital technologies. These challenges necessitate the modernization of traditional community nursing bags to meet the evolving demands of contemporary healthcare practice. This review explores the concept of eco-smart and technology-integrated community nursing bags as innovative solutions for enhancing field-based nursing care. This review discusses the traditional community bag technique, existing practices, and major challenges associated with conventional bags. It further examines eco-smart innovations such as sustainable fabrics, reusable sterilizable kits, biodegradable packaging, solar-powered charging systems, and water-resistant eco-friendly materials that promote environmental sustainability and improve usability. Technological advancements, including portable diagnostic devices, digital documentation systems, telehealth connectivity, Global Positioning System (GPS) technology, artificial intelligence (AI), and Internet of Things (IoT)-enabled applications, are highlighted for their potential to improve assessment, communication, continuity of care, and patient monitoring. This review also addresses infection-prevention enhancements such as antimicrobial surfaces, UV sterilization units, contamination-control compartments, and integrated hand hygiene systems. The relevance of these innovations to rural healthcare, disaster response, maternal and child health services, and geriatric home care is discussed. Additionally, challenges related to cost, training, digital literacy, and infrastructure limitations are examined. Future directions emphasize policy support, curriculum reform, research, and prototype development. Reimagining the community nursing bag as an eco-smart and technology-enabled system has the potential to improve healthcare accessibility, patient safety, sustainability, and quality of care, thereby strengthening community and public health nursing practice in the digital era.",2026,10.7759/cureus.112333,https://pubmed.ncbi.nlm.nih.gov/42571421/,pubmed
76,"Digital twins in geriatrics and gerontology: Applications, challenges, and future directions.",Grace Oluwatoyin Faronbi; Emily James; Euphemia Murateng Matope; Doyin Blessing Bamidele; John Oluwatosin Alabi; David B Olawade,Archives of gerontology and geriatrics,"The global population is ageing at an unprecedented rate, creating substantial pressures on healthcare systems to deliver personalised, proactive, and cost-effective care for older adults. Digital twin (DT) technology, where dynamic virtual replicas of physical entities are continuously updated through real-time data, has emerged as a transformative tool in precision medicine. Despite its growing application across clinical specialties, its specific utility within geriatrics and gerontology remains underexplored in the academic literature. This narrative review aims to synthesise existing evidence on the applications of digital twin technology in geriatric and gerontological care, examine associated challenges and identify future research priorities. A narrative review methodology was employed, with a systematic search of PubMed, Scopus, Web of Science, and IEEE Xplore databases covering publications from January 2014 to December 2025. Studies were selected based on relevance to digital twins, ageing populations, or geriatric clinical domains, with data synthesised thematically. Digital twins demonstrate significant potential benefit across multiple geriatric domains, with use in cardiovascular monitoring, fall prevention, dementia management, polypharmacy optimisation, and chronic disease self-management. Key enablers include advances in Internet of Things (IoT), artificial intelligence, and electronic health records. Persistent challenges include data privacy concerns, interoperability deficits, computational costs, and ethical questions surrounding autonomy and consent in cognitively impaired populations. Digital twin technology holds considerable promise for revolutionising geriatric and gerontological care, by enabling hyper-personalised clinical decision-making, predictive risk management, and remote patient monitoring. Translating this potential into practice requires focused investment in regulatory frameworks, equitable access infrastructure, and interdisciplinary collaboration. Future research should prioritise standardisation, caregiver integration, and longitudinal validation studies within older adult populations.",2026,10.1016/j.archger.2026.106371,https://pubmed.ncbi.nlm.nih.gov/42570533/,pubmed
77,Understanding the role of cybersecurity in the internet of things within the health sector: an empirical study.,Ruba A Alnajim; Ali A Alkhalifah,Frontiers in public health,"The digital healthcare environment is rapidly evolving, driven by the Internet of Things (IoT), which offers benefits like early diagnosis, monitoring, and cost reductions. However, this growth heightens the risk of cyberattacks, raising crucial concerns about patient safety, data breaches, and the necessity of trust for technology adoption. This study explores patient acceptance of digital health technologies for chronic disease management. A research framework was developed combining Protection Motivation Theory (PMT) and the Task-Technology Fit (TTF) model. This framework was augmented by incorporating comprehensive user-centric, behavioral, and technological dimensions. Data from 603 participants were analyzed using a hybrid methodology of Structural Equation Modeling (SEM) and Artificial Neural Networks (ANNs). The ANN was deployed to capture complex, non-linear relationships among variables, overcoming the linear limitations of traditional SEM to rank predictor importance with higher accuracy. Findings reveal that while cybersecurity concerns exist, they do not actively deter technology adoption; rather, they are statistically secondary to immediate health benefits and system usability, especially for patients with chronic diseases. Factors including functionality, information accuracy, trust, privacy, and training did not significantly influence IoT adoption, while awareness, perceived vulnerability, perceived severity, innovation, risk, and compliance exerted minor effects. This study advances digital health literature by providing a novel, dual-theoretic framework (PMT-TTF) validated through machine learning, demonstrating that utilitarian health value overrides security anxieties in chronic care contexts. The findings offer practical insights for healthcare providers and developers to prioritize user-centric design alongside robust security protocols.",2026,10.1108/JET-12-2017-0048,https://pubmed.ncbi.nlm.nih.gov/42539581/,pubmed
78,A Symmetric ICA-Based CDMA Receiver for Dense IoT-Enabled Healthcare Monitoring Systems.,Muhammad Irfan Anjum; Abdullah Waqas; Asad Saleem,"Sensors (Basel, Switzerland)","The rapid development of Internet of Things (IoT)-enabled healthcare systems, including wearable medical sensors and remote patient monitoring devices, has led to dense multiuser communication scenarios in which numerous low-power devices simultaneously transmit physiological data. In such environments, multiuser interference significantly degrades reliability and increases error rates, which may compromise clinical decision-making. This paper proposes a real-time symmetric Independent Component Analysis (ICA)-based Code Division Multiple Access (CDMA) receiver, termed symmetric independent CDMA (i-CDMA) receiver, to enhance multiuser detection in dense healthcare IoT networks. Unlike conventional ICA-CDMA receivers that utilize the orthogonality of users' spreading codes and higher-order statistics (HoS) of users' message symbols in signal separation, the proposed approach utilizes a symmetric independence process that jointly utilizes the independence of separating codes and the statistical independence of users' message symbols. The proposed receiver avoids the runtime optimization of scaling parameter for different user densities and SNR conditions. Furthermore, a modified whitening transform is introduced to exploit the complete signal-plus-noise subspace while avoiding overlearning. Simulation results demonstrate significant performance improvement over symmetric Gram-Schmidt orthogonalization-based standard ICA-CDMA receiver in terms of bit error rate (BER) under varying SNR and user-density scenarios for both uplink and downlink systems. The proposed receiver provides a scalable and interference-resilient communication framework suitable for real-time IoT-enabled healthcare monitoring applications.",2026,10.1002/sat.70037,https://pubmed.ncbi.nlm.nih.gov/42515383/,pubmed
79,Multimodal LLM-driven IoT digital healthcare platform for intelligent dysphagia dietary monitoring.,Zebang He; Steve W Y Mung; Anna Chi Shan Kam; Chetwyn C H Chan,Frontiers in nutrition,"Patients with dysphagia who are transitioning from clinical to domestic environments face significant life-threatening risks due to the ""nutrition-texture disconnect""-the systemic gap between hospital-prescribed International Dysphagia Diet Standardisation Initiative (IDDSI) levels and actual home-prepared meals. Existing dietary monitoring tools effectively track caloric intake, yet they lack the rheological sensing capabilities required to prevent acute choking and liquid aspiration hazards. This preliminary feasibility study introduces a novel, smartphone-centric Internet of Things platform that operationalizes a multimodal large language model (MLLM) as an ""intelligent soft sensor"" to bridge this safety gap. The system utilizes a three-stage cascaded pipeline-incorporating chain-of-thought reasoning and bi-directional safety logic-to perform automated dish recognition, localized nutritional retrieval, and pre-consumption IDDSI texture auditing from a single smartphone image. To evaluate performance, the platform was benchmarked against the newly established Clinical-Expert IDDSI Validation Benchmark, a curated dataset of 115 diverse meal images independently verified via physical rheological testing by certified clinical specialists. A comprehensive comparative evaluation was conducted across 14 commercial and open-source models. Our Qwen-based pipeline achieved a total exact match accuracy of 61.74%. Crucially, the system demonstrated the highest safety profile among 14 tested commercial and open-source models, achieving the lowest total false negative rate (FNR) of 9.2%. While localized open-source models exhibited a critical failure mode regarding liquid aspiration hazards (100% FNR), our cloud-based system maintained a robust 7.14% FNR for liquids. These empirical results indicate that the proposed platform serves as a superior, safety-first screening proxy tool for digital healthcare. By prioritizing a low hazard-miss rate over raw conversational baseline accuracy, the system successfully bridges the safety gap between clinical prescriptions and daily home-based monitoring. The framework offers an ethical, non-invasive, and highly scalable soft-sensing solution for longitudinal, unsupervised dysphagia oversight in home-care settings.",2026,10.1109/LSENS.2026.3688480,https://pubmed.ncbi.nlm.nih.gov/42500256/,pubmed
80,A novel IoT-aware wearable sensor device for healthcare data management framework using hybrid optimization algorithm.,Gopalakrishnan B; Purusothaman P,Physical and engineering sciences in medicine,"The Internet of Things (IoT) has provided a lot of support for patient care by connecting technologies and clinicians through a high-speed network. Data management in IoT healthcare requires a lot of support, since most of the networks are designed for continuous monitoring through the sensor devices, and this leads to challenges in managing sensor data. As the resources in IoT are limited, it is necessary to explore data management strategies so as to achieve an energy-efficient IoT healthcare setup. The classical transmission networks implemented for human-aided applications have various problems, such as limited battery life and resources. Therefore, an effective healthcare data management system using IoT-aided wearable sensor devices is implemented in this work to address the challenges encountered in traditional models. To facilitate robust communication for an IoT-assisted healthcare device, a cloud layer is established, which is used for health data collection and transmission and health monitoring. Here, optimal resource allocation is done using the proposed Hybrid Tasmanian Devil Archery Algorithm (HTDAA), and it is developed from the existing concepts of Tasmanian Devil Optimization (TDO) and Archery Algorithm (AA) to achieve high multi-objective constraint balance and convergence power. This optimal resource allocation process helps in reducing energy consumption in the usual data transmission. For an effective resource allocation process, an objective function is formulated based on the normalized energy ratio value, the buffer memory ratio, and the packet arrival data rate. The proposed HTDAA is established in the IoT setup and used for allocating the optimal channel resources to be involved in the health data transmission, and minimizes the energy requirement. The performance of the suggested HTDAA is estimated by comparing its numerical outcomes with recent optimization techniques. According to the analysis, the packet arrival ratio of HTDAA is 5.6%, 31.7%, 3.3%, and 18.1% enhanced than the recent ESO, SLO, TDO, and AA techniques. Simulations under different cases confirm that the designed HTDAA-based healthcare data management system achieves more robust and energy-efficient solutions than the traditional models.",2026,10.3390/infrastructures8020022,https://pubmed.ncbi.nlm.nih.gov/42489824/,pubmed
81,IoT-Based Isolation Ward Monitoring System Prototype.,Mohamed A Torad; Ahmed A M Torad; Mona Mohamed Taha; Eslam Samy El-Mokadem,"Sensors (Basel, Switzerland)","The COVID-19 pandemic exposed critical vulnerabilities in healthcare systems worldwide, placing healthcare workers (HCWs) at severe infection risk through direct patient contact. Epidemiological data confirm that HCWs were approximately seven times more likely to develop severe COVID-19 than other occupations, with over 7000 HCW deaths recorded globally by mid-2020. This paper presents the design and laboratory proof-of-concept validation of an IoT-based remote patient-monitoring system prototype-the IoT-Based Isolation Ward Monitoring System Prototype-designed to eliminate unnecessary patient-to-HCW physical contact while maintaining continuous, real-time physiological surveillance. The system integrates multi-sensor hardware comprising an AD8232 ECG module, a MAX30100 pulse oximeter, an NTC thermistor, and an MQ-135 CO2 sensor. These sensors interface with an Arduino UNO for data acquisition, while localized edge computing is executed on a Raspberry Pi 3B. A convolutional neural network (CNN) trained on the MIT-BIH Arrhythmia Database classifies heartbeats into five distinct categories. By utilizing SMOTE resampling on 109,446 samples, the network achieves an on-device inference latency of under 200 ms. The sensor data are transmitted to a Firebase Realtime Database via an authenticated REST API, which synchronizes data across dual front-end interfaces: a LabVIEW desktop dashboard for clinical oversight and a cross-platform Flutter mobile application for mobile monitoring. End-to-end technical validation under controlled laboratory conditions confirmed round-trip cloud latencies between 300 and 800 ms, error-free threshold alert generation, and sub-second latency for the integrated chat utility. The proposed system uniquely combines hardware sensing, ML-based ECG classification, cloud storage, a LabVIEW physician dashboard, and bidirectional doctor-patient mobile communication into a single unified, low-cost platform.",2026,10.1109/ACCESS.2019.2937875,https://pubmed.ncbi.nlm.nih.gov/42451307/,pubmed
82,An Intelligent IoT-Compatible Arrhythmia Detection System Using a Hybrid Vision Transformer-LSTM Framework.,S Selva Birunda; V Vaissnave; K Abirami,Cardiovascular engineering and technology,"In electrocardiogram (ECG) signal classification, advanced IoT-compatible systems and medical signal processing solutions have become feasible due to the rapid growth of the Internet of Things (IoT). However, it is challenging to detect and classify arrhythmias because of the complex nature and large volumes of ECG data. This article proposes a hybrid deep learning (DL) approach by combining long short-term memory (LSTM)and a Vision Transformer (ViT) for the automatic arrhythmia classifi cation from ECG signals. This article proposes a hybrid deep learning (DL) approach by combining long short-term memory (LSTM)and a Vision Transformer (ViT) for the automatic arrhythmia classifi cation from ECG signals. Initially, the proposed framework gathers the data from the MIT-BIH database for training. Then, preprocessing strategies such as min-max normalization and signal-to-spectrogram conversion using the Stockwell transform are applied. Then, the imbalance problem in the collected dataset is rectifi ed by applying the K-Mean scentered Adaptive Synthetic Sampling (KMADASYN) technique. Afterward, the proposed framework employs the Hybrid Optimized ViT with Long Short-Term Memory (HOVLSTM) for classification, where spatial and temporal features are extracted to achieve higher classification performance. The developed model achieved a classification accuracy of 99.17%, out performing several existing ECG classification systems. These outcomes demonstrate that the proposed technique is suitable for IoT-compatible healthcare systems. While the IoT-compatible system does not employ data acquisition, the model is evaluated in a simulated IoT environment, demonstrating its potential for future deployment in IoT-enabled clinical decision-support systems.",2026,10.3390/biomimetics9110670,https://pubmed.ncbi.nlm.nih.gov/42420590/,pubmed
83,Reinforcement learning driven edge-cloud coordination for secure and energy efficient IoMT.,Santhos Kumar Sasikumar; Tarun Vinod Pai; Kumaran Kalidasan; Saranya Gajendran,Frontiers in digital health,"The Internet of Medical Things (IoMT) enables sophisticated medical devices, but it also poses significant challenges in terms of data privacy, real-time processing, and energy efficiency for edge devices with limited resources. In this paper, we propose a hierarchical framework for intelligent and secure IoMT-based healthcare monitoring. At the sensor nodes, Federated Variational Mode Decomposition (VMD) is used to decompose physiological signals and locally extract high-fidelity features, ensuring data privacy. To overcome the computational limitations of microcontroller- based sensor nodes, a SparseBonsai neural network is designed for real-time classification of medical signals on the sensor nodes. A centralized orchestration layer, controlled by a Proximal Policy Optimization (PPO) reinforcement learning agent, makes dynamic decisions on whether to queue data for low-latency processing at the edge server or offload to the cloud, depending on data severity, network conditions, and battery level. To further improve energy efficiency, an advanced Sha-Dragon (Shannon-Entropy Dragonfly) optimization algorithm is proposed for resource and transmission power allocation in the IoT network. For security, a dual-layer approach is adopted: ASCON v1.2 lightweight authenticated encryption is used to secure node-to-edge communications, and a WireGuard VPN with ChaCha20-Poly1305 encryption protects data in transit to the cloud. Experimental validation on a Raspberry Pi 5 testbed with a cloud-connected laptop shows that the proposed system achieves a significant reduction in latency for critical alerts and improves the battery life of IoT nodes (8.5 days) compared to the conventional non-adaptive offloading approach. The results confirm the effectiveness of the proposed framework to facilitate energy-efficient, privacy-preserving, and real-time healthcare monitoring in IoMT.",2026,10.1109/TBME.2013.2264539,https://pubmed.ncbi.nlm.nih.gov/42403432/,pubmed
84,Multiscale artificial spider web for comprehensive pressure sensing and human-machine interaction.,Jing Dai; Kwan-Nyeong Kim; Guangzhong Xie; Dong-Su Choi; Seung-Woo Lee; Eojin Yoon; Chan-Yul Park; Han Dai; Somin Kim; Hyun-Haeng Lee; Tae-Woo Lee,Nature communications,"Flexible pressure sensors are key components of Internet of Things systems for monitoring environmental and physiological signals, yet simultaneously achieving a high sensitivity, a fast response time, and a high mechanical durability remains challenging owing to the lack of sophisticated structural designs that balance sensing performance and robustness. Here, we demonstrate a multiscale artificial spider web (MASW) fabricated via copper-mesh-assisted electrospinning of biodegradable polylactic acid, forming a nanofiber network that efficiently transmits stress while enhancing mechanical stability. The resulting pressure sensor simultaneously shows a high sensitivity of 39.85 [kPa]-1, a fast response of 42 ms and high durability over 6000 loading cycles, enabling reliable and versatile neural-network-assisted real-time monitoring of multiple physiological signals, including pulse, breathing, and vocalization. Furthermore, leveraging precise joint movement signal acquisition, a human-machine interaction system was developed with potential applications in fine motor rehabilitation for Parkinson's disease, suggesting strong promise for sustainable healthcare and IoT systems.",2026,10.1002/mds.10313,https://pubmed.ncbi.nlm.nih.gov/42401571/,pubmed
85,Digital Transformation for Community-Based Elderly Care Model: An Innovative Prediction Service for Managing and Monitoring Chronic Disease.,Huaiyuan Guo; Kannikar Hannah Wechkunanukul; Songkhamchai Leethongdisakul; Nachalida Yukalang,Studies in health technology and informatics,"This research aimed to develop and implement a digital innovation model integrating big data for chronic disease management and monitoring, and to promote digital transformation in community-based elderly care. A mixed-method approach centered on big data technology and public health perspectives was adopted. In pilot communities (n=3), the dynamic demand assessment model using Gradient Boosting Decision Tree (GBDT) achieved significantly higher prediction accuracy than traditional experiential judgment (85.3% vs. 62.4%, p<0.01). In Shandong cohort (n=320), real-time monitoring of blood pressure and blood glucose via smart devices increased hypertension management rate from 54% to 72% (p<0.05) and reduced diabetes complication incidence by 19%. In Beijing cohort (n=150), IoT-based fall monitoring shortened average response time from 22 minutes to 8 minutes and improved treatment success rate by 35%. The model demonstrated favorable data security and technical applicability, but faced challenges of digital divide-only 42% of adults aged 65+ could independently use service-booking apps, with 58% relying on family or volunteer assistance. The big data-driven prediction model is feasible for community elderly care and can facilitate its digital transformation, whereas further simplification of operational complexity is required.",2026,10.3233/SHTI260921,https://pubmed.ncbi.nlm.nih.gov/42394083/,pubmed
86,"Development of a Hospital Air Quality Monitoring Application Utilizing IoT Technology and Google Workspace: A Case Study of a Hospital in Mahasarakham, Thailand.",Suwattanapong Sribudda; Kallaya Harnpicharnchai; Noppanun Nankongnab; Wisit Thongkum,Studies in health technology and informatics,"Hospitals are high-risk environments where Indoor Air Quality (IAQ) significantly impacts the health and safety of personnel. Inefficient ventilation and the accumulation of pollutants can lead to Sick Building Syndrome and various non-communicable diseases. Conventional manual reporting systems often limit the speed and accuracy of risk assessment. Therefore, this study aimed to develop a digital solution to provide real-time air quality data for precise occupational risk management. This action research followed the Systems Development Life Cycle (SDLC) and Database Life Cycle (DBLC) through seven phases. An IoT-based monitoring device was developed to measure eight critical parameters: CO2, CO, TVOCs, PM2.5, PM10, temperature, and relative humidity. The system utilized Google Apps Script for automated reporting and Google App Sheet for data visualization, with data stored and processed through Google Sheets and a cloud server. The developed system successfully integrated IoT sensors with Google Workspace for real-time monitoring via mobile and web interfaces. Evaluation results indicated a high level of user satisfaction among hospital personnel, with mean scores ranging from 4.03 to 4.50. The highest ratings were achieved in ""System Processing Speed"" and ""Alignment with User Requirements"" (Mean = 4.50), demonstrating that the application effectively addresses staff needs. The application proves to be an efficient tool for monitoring hospital air quality and managing occupational health risks. By integrating IoT technology with low-code platforms, the system reduces administrative workload and promotes sustainable risk management practices.",2026,10.3233/SHTI260873,https://pubmed.ncbi.nlm.nih.gov/42394035/,pubmed
87,Advances in Remote Monitoring Technology Applications in Anesthesia: A Narrative Review.,Lixin Chen; Songhe Cheng; Libing Zhang; Huan Li; Zehua Tu; Xiaodong Cai,Medical science monitor : international medical journal of experimental and clinical research,"The swift progress of digital and sensor technologies is hastening the incorporation of remote monitoring into anesthesiology. While several reviews have explored telemedicine and artificial intelligence in anesthesia, most existing summaries either focus on conceptual outlook or lack systematic comparison of technical platforms and original clinical validation data. The present review provides a comprehensive, clinically oriented synthesis of remote monitoring in anesthesia, with clear focuses on technical principles, perioperative applications, platform comparisons, and evidence-based clinical outcomes. We critically assess clinical advantages and implementation hurdles, covering the full perioperative pathway - preoperative evaluation, intraoperative observation, and postoperative recovery. A head-to-head comparison of fifth generation of cellular network technology (5G), the Internet of Things (IoT), and cloud computing platforms is presented to clarify their infrastructure demands and suitability for real-world clinical scenarios. Notably, this review summarizes available clinical evidence, including evidence from the Trial of Remote Continuous versus Intermittent National Early Warning Score Monitoring after major surgery (TRaCINg) - a feasibility randomized controlled trial whose exploratory findings suggest that continuous remote monitoring may reduce unplanned intensive care unit admissions, shorten hospital stays, and facilitate earlier detection of postoperative complications. We further propose innovative solutions including multimodal data fusion and federated learning-driven predictive analytics to overcome current limitations in data interoperability, security, and clinical effectiveness. Accordingly, this paper synthesizes the latest advances in remote monitoring technology in anesthesia, clarifies its unique value relative to existing reviews, and provides practical guidance for clinical translation and future research.",2026,10.30953/bhty.v8.379,https://pubmed.ncbi.nlm.nih.gov/42381266/,pubmed
88,Experimental Validation of a Compact and Versatile Bioimpedance Measurement Platform Based on the SENSIPLUS Chip.,Lorenzo Giannini; Rita Asquini; Alessio Buzzin; Simone Contardi; Paolo Bruschi; Emanuele Piuzzi,"Sensors (Basel, Switzerland)","The growing demand for wearable and Internet of Medical Things (IoMT) devices is driving the development of compact, low-power platforms for continuous physiological monitoring. Bioimpedance analysis represents a versatile non-invasive technique for the assessment of tissue properties, body composition, and respiratory dynamics. This work presents a comprehensive experimental validation of a compact bioimpedance measurement platform based on the SENSIPLUS chip, a CMOS sensor interface integrating a frequency-programmable lock-in amplifier for Electrochemical Impedance Spectroscopy in the 10 kHz-1 MHz range. The platform was validated at three complementary levels: (i) electrical characterization on Debye tissue-equivalent circuits using a three-point bilinear calibration, with analysis of the electrode-skin contribution and repeatability assessment; (ii) in vivo multi-frequency bioimpedance spectroscopy (BIS) with Cole-Cole model fitting and hook-effect correction; and (iii) single-frequency thoracic impedance plethysmography for respiratory monitoring. Results were compared against an Agilent E4980A precision Inductance (L), Capacitance (C), and Resistance (R) meter and a calibrated spirometer. The presented device achieved a maximum resistance error below 5.7% and reactance deviation under 6 Ω across the investigated frequency range, Cole-Cole parameters consistent with reference values, and strong linear correlation (R2=0.97) between thoracic impedance variations and tidal volume, with respiratory rate estimation errors below 2% across the ten sessions, specifically 1.43% during normal breathing and 1.96% during deep breathing. These results demonstrate that the SENSIPLUS-based platform achieves metrological performance compatible with the requirements of wearable IoMT applications, here demonstrated in a single-subject proof-of-concept study, while relying for all critical analog functions on a compact (1.5×1.5) mm2 system-on-chip with low power consumption (1.5 mW).",2026,10.1007/s10877-021-00753-6,https://pubmed.ncbi.nlm.nih.gov/42590697/,pubmed
